text,sentiment,score
upset can't updat facebook text it... might cri result school today also. blah!,negative,0.9549478888511658
@kenichan dive mani time ball. manag save 50% rest go bound,neutral,0.6511961817741394
whole bodi feel itchi like fire,negative,0.7414463758468628
"@nationwideclass no, behav all. i'm mad. here? can't see there.",negative,0.9774262309074402
@kwesidei whole crew,negative,0.9135467410087585
need hug,neutral,0.5093979239463806
"@loltrish hey long time see! yes.. rain bit ,on bit lol , i'm fine thank , how ?",positive,0.3603203296661377
@tatiana_k nope,negative,0.8237885236740112
@twittera que muera ?,neutral,0.6433473825454712
spring break plain city... snow,neutral,0.5918453335762024
re-pierc ear,neutral,0.5487611889839172
@caregiv bear watch it. thought ua loss embarrass . . . . .,negative,0.943749189376831
"@octolinz16 counts, idk either. never talk anymor",negative,0.9651157855987549
"@smarrison would'v first, gun. realli though, zac snyder doucheclown.",neutral,0.584484875202179
@iamjazzyfizzl wish got watch you!! miss @iamlilnicki premiere?!,neutral,0.6187148690223694
holli death scene hurt sever watch film wri director cut now?,negative,0.8394367098808289
file tax,negative,0.7423213720321655
@lettya ahh ive alway want see rent love soundtrack!!,neutral,0.6525341272354126
@fakerpattypattz oh dear. drink forgotten tabl drinks?,negative,0.9313772916793823
@alydesign day get much done,neutral,0.5102822780609131
"one friend call me, ask meet mid valley today...but i'v time *sigh*",negative,0.641156017780304
@angry_barista bake cake ate,negative,0.8138236999511719
week go hope,neutral,0.721919596195221
blagh class 8 tomorrow,neutral,0.5994971394538879
hate call wake peopl,negative,0.9600352048873901
go cri sleep watch marley me.,neutral,0.5970176458358765
im sad miss.lilli,negative,0.7338977456092834
ooooh.... lol leslie.... ok lesli get mad,negative,0.7779372930526733
meh... almost lover exception... track get depress everi time.,negative,0.9165684580802917
some1 hack account aim make new one,negative,0.9282128810882568
@alielayus want go promot gear groov unforn ride may b go one anaheim may though,neutral,0.8386115431785583
thought sleep option tomorrow realiz not. evalu morn work afternoon!,negative,0.8323796391487122
@julieebabi awe love too!!!! 1 miss,positive,0.9644564390182495
@humpninja cri asian eye sleep night,neutral,0.6445385217666626
ok i'm sick spent hour sit shower caus sick stand held back puke like champ. bed,negative,0.9944894313812256
@cocomix04 ill tell ya stori later good day ill workin like three hours...,negative,0.9903491735458374
@missxu sorry! bed time came (gmt+1) http://is.gd/fng,negative,0.881389319896698
@fleuryli either. depressing. think even want know kid suitcases.,negative,0.9895241856575012
bed. class 8-12. work 12-3. gym 3-5 6. class 6-10. anoth day that gonna fli by. miss girlfriend,negative,0.8554097414016724
realli feel like get today... got studi tomorrow practic exam...,neutral,0.607029139995575
he reason teardrop guitar one enough break heart,negative,0.9188681244850159
"sad, sad, sad. know hate feel wanna sleep still can't!",negative,0.9803407192230225
@jonathanrknight awww soo wish see final comfortable! im sad miss,positive,0.5611491203308105
fall asleep. heard traci girl bodi found. sad heart break family.,negative,0.9742897152900696
@viennah yay! i'm happi job! also mean less time you...,negative,0.8812882304191589
"check user timelin blackberry, look like twank still happen ppl still prob w/ bgs uids?",negative,0.7064982056617737
oh man...wa iron @jeancjumb fave top wear meeting. burnt,neutral,0.45818135142326355
strang sad lilo samro break up.,negative,0.9195307493209839
@tea oh! i'm sorri think retweeting.,neutral,0.4764579236507416
broadband plan 'a massiv broken promis http://tinyurl.com/dcuc33 via www.diigo.com/~tautao still wait broadband,negative,0.9381459355354309
"@localtweep wow, ton repli you, may unfollow see friend tweets, scroll feed lot.",neutral,0.5035673379898071
duck chicken take wayyy long hatch,neutral,0.5893956422805786
"put vacat photo onlin yrs ago. pc crashed, forget name site.",negative,0.9509425163269043
need hug,neutral,0.5093979239463806
"@andywana sure are, pos! much want to, dont think trade away compani asset sorri andy!",neutral,0.46711021661758423
@oanhlov hate happens...,negative,0.9879866242408752
"sad feel dalla go show gotta say though, think show would use music game. mmm",negative,0.6787301898002625
ugh....92 degre tomorrow,negative,0.49118369817733765
u move to? thought u alreadi sd. ?? hmmm. random u found me. glad hear yer well.,positive,0.810555636882782
"@batmanyng miss ps3, commiss wutcha playing? cop blood sand'?",neutral,0.5595861077308655
leav park lot work!,positive,0.7572803497314453
life cool. me.,positive,0.8790686130523682
"sad though, i'v never gotten experi post coitus cigarett before, never will.",negative,0.7904597520828247
nice day. bad rain come tomorrow 5am,negative,0.5972931385040283
@starrbbi bad around lost job can't even pay phone bill lmao aw shuck,negative,0.9952751398086548
damm back school tomorrow,neutral,0.6152620315551758
"mo jobs, money. hell min wage 4 f'n clam hour?",negative,0.9412631988525391
@katortiz forever... see soon!,positive,0.7793464660644531
"@lt_algonquin agreed, saw failwhal allllll day today.",neutral,0.5207366347312927
@jdarter oh! haha... dude dont realli look em unless someon say hey ad you. sorri i'm terribl that. need pop up!,negative,0.6914969682693481
@ninjen i'm sure right... need start work nikster... jare least!,negative,0.5183568000793457
realli hate peopl diss bands! trace clear ugly!,negative,0.9543101787567139
"gym attir today was: puma singlet, adida shorts.......and black busi sock leather shoe lucki run cute girls.",positive,0.584150493144989
show location?! http://twitpic.com/2y2,neutral,0.6470633745193481
picnic phone smell like citrus.,negative,0.5665887594223022
"@ashleyac donkey sensit comments. nevertheless, he'd (and me'd) glad see mug asap. charger still awol.",negative,0.7197741866111755
new csi tonight. fml,neutral,0.7837643623352051
think arm sore tenni,negative,0.8309140801429749
wonder someon u like much make unhappi split seccond . depress .,negative,0.9655305743217468
sleep soon... hate say bye see tomorrow night.,negative,0.919750988483429
"@statravelau got ur newsletter, fare realli unbelievable, shame alreadi book paid mine",negative,0.8918111324310303
missin boo,negative,0.6095998287200928
@markhardy1974 #itm,neutral,0.709007203578949
damn... chalk! chalkboard useless,negative,0.9906152486801147
"blast getti villa, hate sore throat day. get wors",negative,0.9418766498565674
@msdrama hey miss ya meet sup mama,positive,0.751908540725708
"tummi hurts. wonder hypnosi anyth it? so, working, get it, stop smoking!!!",negative,0.9596884846687317
alway fat ones?!,negative,0.5287615656852722
"@januarycrimson sorry, babe!! fam annoy too. thankfully, they'r asleep right now. muahaha. *evil laugh*",negative,0.8824928402900696
@hollywoodheat paid attent cover photoshop webpag design class undergrad,neutral,0.7412953972816467
wednesday b-day! know 2 do!!,neutral,0.5342544317245483
poor cameron (the hills),negative,0.6639129519462585
"pray please, ex threaten start sh** my/our babi 1st birthday party. jerk. still headach",negative,0.9935131669044495
"@makeherfam hmm , u realli enjoy ? problem constant u think thing , find someon ulik",negative,0.7447996735572815
strider sick littl puppi http://apps.facebook.com/dogbook/profile/view/5248435,neutral,0.5741175413131714
"rylee,grace...wana go steve parti not?? sad sinc easter wnt b abl 2 much ohh well.....",negative,0.5372898578643799
"hey, actual one bracket pools! bad one money",negative,0.8858861327171326
"@stark follow me, either work you!",neutral,0.7369179725646973
bad nite favorit teams: astro spartan lose. nite t.w. good.,negative,0.9009705781936646
bodi miss northern calif. girl found: polic found remain miss northern california girl .. http://tr.im/imji,neutral,0.4905042052268982
